"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YDPSCTQY","journalArticle","2024","Büttner, Martha; Schneider, Lisa; Krasowski, Aleksander; Pitchika, Vinay; Krois, Joachim; Meyer-Lueckel, Hendrik; Schwendicke, Falk","Conquering class imbalances in deep learning-based segmentation of dental radiographs with different loss functions","Journal of Dentistry","","03005712","10.1016/j.jdent.2024.105063","https://linkinghub.elsevier.com/retrieve/pii/S030057122400232X","Objective: The imbalanced nature of real-world datasets is an ongoing challenge in the field of machine and deep learning. In medicine and in dentistry, most data samples represent patients not affected by pathologies, and on imagery, pathologic image areas are often smaller than healthy ones. Selecting suitable loss functions during deep learning is essential and may help to overcome the resulting imbalance. We assessed six different loss functions for one exemplary task, tooth structure segmentation on bitewing radiographs, for their performance. Methods: Six different loss functions (Focal Loss, Dice Loss, Tversky Loss and hybrid losses of Cross-Entropy and Dice Loss, Focal and Dice Loss, Focal and Generalized Dice Loss) were compared on a tooth structure segmentation task of 1,625 bitewing radiographs. Training was performed using three different model architectures (UNet, Linknet, DeepLavbV3+) over a 5-fold cross-validation. Tooth structures consisted of the classes (occurrence in% of samples/captures areas measured on pixel level) enamel (100 %/25 %), dentin (100 %/50 %), root canal (100 %/10 %), filling (81 %/8 %) and crown (28 %/5 %).","2024-09","2026-06-11 20:36:30","2026-06-11 20:36:31","2026-06-11 20:36:30","105063","","","148","","Journal of Dentistry","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\singg\Zotero\storage\IQ9T2QG8\Büttner et al. - 2024 - Conquering class imbalances in deep learning-based segmentation of dental radiographs with different.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPTXJLE6","journalArticle","2022","Yeung, Michael; Sala, Evis; Schönlieb, Carola-Bibiane; Rundo, Leonardo","Unified Focal loss: Generalising Dice and cross entropy-based losses to handle class imbalanced medical image segmentation","Computerized Medical Imaging and Graphics","","08956111","10.1016/j.compmedimag.2021.102026","https://linkinghub.elsevier.com/retrieve/pii/S0895611121001750","Automatic segmentation methods are an important advancement in medical image analysis. Machine learning techniques, and deep neural networks in particular, are the state-of-the-art for most medical image segmentation tasks. Issues with class imbalance pose a significant challenge in medical datasets, with lesions often occupying a considerably smaller volume relative to the background. Loss functions used in the training of deep learning algorithms differ in their robustness to class imbalance, with direct consequences for model convergence. The most commonly used loss functions for segmentation are based on either the cross entropy loss, Dice loss or a combination of the two. We propose the Unified Focal loss, a new hierarchical framework that generalises Dice and cross entropy-based losses for handling class imbalance. We evaluate our proposed loss function on five publicly available, class imbalanced medical imaging datasets: CVC-ClinicDB, Digital Retinal Images for Vessel Extraction (DRIVE), Breast Ultrasound 2017 (BUS2017), Brain Tumour Segmentation 2020 (BraTS20) and Kidney Tumour Segmentation 2019 (KiTS19). We compare our loss function performance against six Dice or cross entropy-based loss functions, across 2D binary, 3D binary and 3D multiclass segmentation tasks, demonstrating that our proposed loss function is robust to class imbalance and consistently outperforms the other loss functions. Source code is available at: https://github.com/mlyg/unified-focal-loss.","2022-01","2026-06-11 20:36:45","2026-06-11 20:36:45","2026-06-11 20:36:45","102026","","","95","","Computerized Medical Imaging and Graphics","Unified Focal loss","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\singg\Zotero\storage\QTL5X7VH\Yeung et al. - 2022 - Unified Focal loss Generalising Dice and cross entropy-based losses to handle class imbalanced medi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I5TWP8SH","journalArticle","2023","Karanjit, R.; Pally, R.; Samadi, S.","FloodIMG: Flood image DataBase system","Data in Brief","","23523409","10.1016/j.dib.2023.109164","https://linkinghub.elsevier.com/retrieve/pii/S2352340923002834","A breakthrough in building models for image processing came with the discovery that a convolutional neural network (CNN) can progressively extract higher-level representations of the image content. Having high-resolution images to train CNN models is a key for optimizing the performance of image segmentation models. This paper presents a new dataset—called Flood Image (FloodIMG) database system—that was developed for ﬂood related image processing and segmentation. We developed various Internet of Things Application Programming Interfaces (IoT API) to gather ﬂoodrelated images from Twitter, and US federal agencies’ web servers, such as the US Geological Survey (USGS) and the Department of Transportation (DOT). Overall, >9200 images of ﬂooding events were collected, preprocessed, and formatted to make the dataset applicable for CNN training. Bounding boxes and polygon primitives were also labeled on each image to localize and classify an object in the image. Two use cases of FloodIMG are presented in this paper, where the Fast Region-based CNN (R-CNN) algorithm was used to estimate ﬂood severity and depth during recent ﬂooding events in the US. As of >9200 images, 7,400 were categorized as training sets, whereas >1,800 images were used for the R-CNN testing. Users can access the FloodIMG database freely through Kaggle platform to create more accessible, accurate, and optimized image segmentation models. The FloodIMG workﬂow concludes with a visualization of colors and labels per image that can serve as a benchmark for ﬂood image processing and segmentation.","2023-06","2026-06-11 20:36:47","2026-06-11 20:36:47","2026-06-11 20:36:47","109164","","","48","","Data in Brief","FloodIMG","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\singg\Zotero\storage\WJQ2IK98\Karanjit et al. - 2023 - FloodIMG Flood image DataBase system.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKNPFHD9","journalArticle","2023","Intizhami, Naili Suri; Nuranti, Eka Qadri; Bahar, Nur Inaya","Dataset for flood area recognition with semantic segmentation","Data in Brief","","23523409","10.1016/j.dib.2023.109768","https://linkinghub.elsevier.com/retrieve/pii/S2352340923008351","Floods are natural disasters that repeatedly occur in Indonesia, causing substantial material losses and claiming many lives. Meanwhile, social media data has emerged as a valuable resource for analyzing user behaviour and interests, and its use for ﬂood-related information is increasing. In this paper, we present a ﬂood dataset collected from Instagram Reels, which consists of videos depicting ﬂood events in Parepare. Every video was collected from different areas, time conditions and viewpoint, and converted into image form. The data set includes 7248 images. Images undergo preprocessing to ensure a clear depiction and differentiation of the ﬂood event from the surrounding elements. Annotations given to each object, using a different color label, facilitate recognition and understanding of various computer vision applications. Overall, this ﬂood dataset is a valuable resource for computer vision research, especially semantic segmentation method and promotes the development of algorithms for ﬂood area identiﬁcation and object recognition in ﬂood-affected areas.","2023-12","2026-06-11 20:36:49","2026-06-11 20:36:49","2026-06-11 20:36:49","109768","","","51","","Data in Brief","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\singg\Zotero\storage\W5LFSNKY\Intizhami et al. - 2023 - Dataset for flood area recognition with semantic segmentation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C9IN2K54","journalArticle","2025","Sundaresan, Akila Agnes; Solomon, Appadurai Arun","Post-disaster flooded region segmentation using DeepLabv3+ and unmanned aerial system imagery","Natural Hazards Research","","26665921","10.1016/j.nhres.2024.12.003","https://linkinghub.elsevier.com/retrieve/pii/S2666592124000957","Natural disasters, particularly ﬂoods, have become increasingly frequent and intense in recent times, posing signiﬁcant threats to human lives and infrastructure, especially in developing countries. Efﬁcient ﬂood detection and damage assessment are critical for effective disaster response and recovery. This study applies the DeepLabv3þ model with UAS imagery to achieve precise ﬂood area delineation. The DeepLabv3þ model employs an encoder-decoder architecture, integrating Atrous Spatial Pyramid Pooling (ASPP) and atrous convolutions to capture multi-scale contextual features while preserving spatial details. To evaluate its performance, the study experiments with various backbone architectures, including ResNet-18, ResNet-50, MobileNetV2, and Xception, under different conﬁgurations of downsampling rates (8 and 16) and atrous rates (8, 12, and 16). ResNet-50 proves to be the most effective backbone, achieving the optimal balance between segmentation accuracy and computational efﬁciency. The ASPP module enhances global and local feature extraction, while the decoder combines low-level spatial and high-level semantic features for precise pixel-wise segmentation. Experimental results reveal that the DeepLabv3þ model signiﬁcantly enhances the detection of ﬂooded regions and the delineation of ﬂood extents, providing a reliable tool for real-time disaster management and contributing to improved ﬂood management practices. This research offers valuable insights into leveraging deep learning models for enhanced disaster response in regions where rapid and accurate ﬂood detection is crucial.","2025-06","2026-06-11 20:36:52","2026-06-11 20:36:52","2026-06-11 20:36:52","363-371","","2","5","","Natural Hazards Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\singg\Zotero\storage\W5EBMWZY\Sundaresan and Solomon - 2025 - Post-disaster flooded region segmentation using DeepLabv3+ and unmanned aerial system imagery.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TXR8ENQ","journalArticle","2022","Kattenborn, Teja; Schiefer, Felix; Frey, Julian; Feilhauer, Hannes; Mahecha, Miguel D.; Dormann, Carsten F.","Spatially autocorrelated training and validation samples inflate performance assessment of convolutional neural networks","ISPRS Open Journal of Photogrammetry and Remote Sensing","","26673932","10.1016/j.ophoto.2022.100018","https://linkinghub.elsevier.com/retrieve/pii/S2667393222000072","Deep learning and particularly Convolutional Neural Networks (CNN) in concert with remote sensing are becoming standard analytical tools in the geosciences. A series of studies has presented the seemingly outstanding performance of CNN for predictive modelling. However, the predictive performance of such models is commonly estimated using random cross-validation, which does not account for spatial autocorrelation between training and validation data. Independent of the analytical method, such spatial dependence will inevitably inflate the estimated model performance. This problem is ignored in most CNN-related studies and suggests a flaw in their validation procedure. Here, we demonstrate how neglecting spatial autocorrelation during crossvalidation leads to an optimistic model performance assessment, using the example of a tree species segmentation problem in multiple, spatially distributed drone image acquisitions. We evaluated CNN-based predictions with test data sampled from 1) randomly sampled hold-outs and 2) spatially blocked hold-outs. Assuming that a block cross-validation provides a realistic model performance, a validation with randomly sampled holdouts overestimated the model performance by up to 28%. Smaller training sample size increased this optimism. Spatial autocorrelation among observations was significantly higher within than between different remote sensing acquisitions. Thus, model performance should be tested with spatial cross-validation strategies and multiple independent remote sensing acquisitions. Otherwise, the estimated performance of any geospatial deep learning method is likely to be overestimated.","2022-08","2026-06-11 20:36:55","2026-06-11 20:36:55","2026-06-11 20:36:55","100018","","","5","","ISPRS Open Journal of Photogrammetry and Remote Sensing","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\singg\Zotero\storage\XK24AQV5\Kattenborn et al. - 2022 - Spatially autocorrelated training and validation samples inflate performance assessment of convoluti.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YFGFTEJU","preprint","2015","Ronneberger, Olaf; Fischer, Philipp; Brox, Thomas","U-Net: Convolutional Networks for Biomedical Image Segmentation","","","","10.48550/arXiv.1505.04597","http://arxiv.org/abs/1505.04597","There is large consent that successful training of deep networks requires many thousand annotated training samples. In this paper, we present a network and training strategy that relies on the strong use of data augmentation to use the available annotated samples more eﬃciently. The architecture consists of a contracting path to capture context and a symmetric expanding path that enables precise localization. We show that such a network can be trained end-to-end from very few images and outperforms the prior best method (a sliding-window convolutional network) on the ISBI challenge for segmentation of neuronal structures in electron microscopic stacks. Using the same network trained on transmitted light microscopy images (phase contrast and DIC) we won the ISBI cell tracking challenge 2015 in these categories by a large margin. Moreover, the network is fast. Segmentation of a 512x512 image takes less than a second on a recent GPU. The full implementation (based on Caﬀe) and the trained networks are available at http://lmb.informatik.uni-freiburg.de/people/ronneber/u-net.","2015-05-18","2026-06-11 20:36:57","2026-06-11 20:36:57","2026-06-11 20:36:57","","","","","","","U-Net","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1505.04597 [cs.CV]","Comment: conditionally accepted at MICCAI 2015","C:\Users\singg\Zotero\storage\NBTUI8R7\Ronneberger et al. - 2015 - U-Net Convolutional Networks for Biomedical Image Segmentation.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1505.04597","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8U3HZ5W","preprint","2015","He, Kaiming; Zhang, Xiangyu; Ren, Shaoqing; Sun, Jian","Deep Residual Learning for Image Recognition","","","","10.48550/arXiv.1512.03385","http://arxiv.org/abs/1512.03385","Deeper neural networks are more difﬁcult to train. We present a residual learning framework to ease the training of networks that are substantially deeper than those used previously. We explicitly reformulate the layers as learning residual functions with reference to the layer inputs, instead of learning unreferenced functions. We provide comprehensive empirical evidence showing that these residual networks are easier to optimize, and can gain accuracy from considerably increased depth. On the ImageNet dataset we evaluate residual nets with a depth of up to 152 layers—8× deeper than VGG nets [41] but still having lower complexity. An ensemble of these residual nets achieves 3.57% error on the ImageNet test set. This result won the 1st place on the ILSVRC 2015 classiﬁcation task. We also present analysis on CIFAR-10 with 100 and 1000 layers.","2015-12-10","2026-06-11 20:37:00","2026-06-11 20:37:00","2026-06-11 20:37:00","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1512.03385 [cs.CV]","Comment: Tech report","C:\Users\singg\Zotero\storage\ECW6RLIK\He et al. - 2015 - Deep Residual Learning for Image Recognition.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1512.03385","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YJTQR8QS","preprint","2017","Salehi, Seyed Sadegh Mohseni; Erdogmus, Deniz; Gholipour, Ali","Tversky loss function for image segmentation using 3D fully convolutional deep networks","","","","10.48550/arXiv.1706.05721","http://arxiv.org/abs/1706.05721","Fully convolutional deep neural networks carry out excellent potential for fast and accurate image segmentation. One of the main challenges in training these networks is data imbalance, which is particularly problematic in medical imaging applications such as lesion segmentation where the number of lesion voxels is often much lower than the number of non-lesion voxels. Training with unbalanced data can lead to predictions that are severely biased towards high precision but low recall (sensitivity), which is undesired especially in medical applications where false negatives are much less tolerable than false positives. Several methods have been proposed to deal with this problem including balanced sampling, two step training, sample re-weighting, and similarity loss functions. In this paper, we propose a generalized loss function based on the Tversky index to address the issue of data imbalance and achieve much better trade-oﬀ between precision and recall in training 3D fully convolutional deep neural networks. Experimental results in multiple sclerosis lesion segmentation on magnetic resonance images show improved F2 score, Dice coeﬃcient, and the area under the precision-recall curve in test data. Based on these results we suggest Tversky loss function as a generalized framework to eﬀectively train deep neural networks.","2017-06-18","2026-06-11 20:37:01","2026-06-11 20:37:01","2026-06-11 20:37:01","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1706.05721 [cs.CV]","","C:\Users\singg\Zotero\storage\I3R77GQY\Salehi et al. - 2017 - Tversky loss function for image segmentation using 3D fully convolutional deep networks.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1706.05721","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QEAWJGPJ","preprint","2018","Oktay, Ozan; Schlemper, Jo; Folgoc, Loic Le; Lee, Matthew; Heinrich, Mattias; Misawa, Kazunari; Mori, Kensaku; McDonagh, Steven; Hammerla, Nils Y.; Kainz, Bernhard; Glocker, Ben; Rueckert, Daniel","Attention U-Net: Learning Where to Look for the Pancreas","","","","10.48550/arXiv.1804.03999","http://arxiv.org/abs/1804.03999","We propose a novel attention gate (AG) model for medical imaging that automatically learns to focus on target structures of varying shapes and sizes. Models trained with AGs implicitly learn to suppress irrelevant regions in an input image while highlighting salient features useful for a speciﬁc task. This enables us to eliminate the necessity of using explicit external tissue/organ localisation modules of cascaded convolutional neural networks (CNNs). AGs can be easily integrated into standard CNN architectures such as the U-Net model with minimal computational overhead while increasing the model sensitivity and prediction accuracy. The proposed Attention U-Net architecture is evaluated on two large CT abdominal datasets for multi-class image segmentation. Experimental results show that AGs consistently improve the prediction performance of U-Net across different datasets and training sizes while preserving computational efﬁciency. The source code for the proposed architecture is publicly available.","2018-05-20","2026-06-11 20:37:03","2026-06-11 20:37:03","2026-06-11 20:37:03","","","","","","","Attention U-Net","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1804.03999 [cs.CV]","Comment: Accepted to published in MIDL'18 (Revised Version) / OpenReview link: https://openreview.net/forum?id=Skft7cijM","C:\Users\singg\Zotero\storage\W9I56E7E\Oktay et al. - 2018 - Attention U-Net Learning Where to Look for the Pancreas.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1804.03999","","","","","","","","","","","","","","","","","","","","","","","","","","",""
